virusUprot,humanUprot
Q05128,P46934
Q05127,Q96FJ2
Q05127,P22626
Q05127,O95816
Q05127,P12036
Q05127,P05388
Q05127,P63167
Q05127,P35637
Q05127,P30050
Q05127,Q6P2E9
Q05127,Q9BQE3
Q05127,Q8WWM7
Q05127,P12273
Q05127,Q71U36
Q05127,P05386
Q05127,Q9BTM1
Q05127,Q7L7L0
Q05127,P62805
Q05127,Q93077
Q05127,Q96KK5
Q05127,P78537
Q05127,P0C0S8
Q05127,Q16777
Q05127,Q6FI13
Q05127,Q9UIG0
Q05127,P20671
Q05127,P22102
Q05127,Q99878
Q05127,P04908
Q05127,Q99879
Q05127,Q96AX9
Q05127,P33778
Q05127,Q93079
Q05127,Q99877
Q05127,Q99729
Q05127,P58876
Q05127,P35268
Q05127,P57053
Q05127,P23527
Q05127,P52597
Q05127,Q16778
Q05127,P55795
Q05127,P09651
Q05127,Q96A08
Q05127,O60814
Q05127,Q96B45
Q05127,Q32P51
Q05127,Q5QNW6
Q05127,Q969J3
Q05127,P62807
Q05127,P06899
Q05127,Q99880
Q05127,P31943
Q05127,P31942
Q05127,Q8N257
Q05322,Q6NXT2
Q05322,P84243
Q05322,O43791
Q05322,Q14974
Q05322,A8CG34
Q05322,Q71UM5
Q05322,P49790
Q05322,Q8IXQ5
Q05322,Q00325
Q05322,Q16695
Q05322,P68104
Q05322,Q00839
Q05322,P07437
Q05322,Q8N163
Q05322,Q93008
Q05322,Q969G3
Q05322,Q9Y4I1
Q05322,O60684
Q05322,Q92688
Q05322,Q05639
Q05322,Q5VTE0
Q05322,P62805
Q05322,Q9BQE3
Q05322,P39687
Q05322,P14866
Q05322,Q9NQ55
Q05322,P42677
Q05322,Q8TAQ2
Q05322,Q9UFW8
Q05322,Q9NQX4
Q05322,P52294
Q05322,P51532
Q05322,Q71DI3
Q05322,O15131
Q05322,Q96HA1
Q05322,P68431
A9QPL8,P0CG48
Q05322,Q13263
Q05322,Q9Y5M8
Q05322,P08708
Q05322,Q99832
Q05322,P48643
Q05322,P21796
Q05322,P45880
Q05322,F8VVM2
Q05322,P51571
Q05322,Q9UNL2
Q05322,O60684
Q05322,P52294
Q05322,P22626
Q05322,P07437
Q05322,O00264
Q05322,P17987
Q05322,P08238
Q05322,P23396
Q05322,P11142
Q05322,O43175
Q05128,P53992
Q05322,P35613
Q05322,Q96TA2
Q05322,P04843
Q05322,P27708
Q05322,P30050
Q05128,P46934
Q05322,P61978
Q05322,P39687
Q05322,O95831
Q05322,P35268
Q05322,Q09028
Q05322,P50402
Q05322,P52294
Q05322,P05141
Q05322,P04844
Q05322,Q15907
Q05322,Q15758
Q05322,Q9P258
Q05322,Q8N163
Q05322,P60866
Q05322,P49411
Q05322,P49755
Q05322,P35232
Q05322,O15269
Q05322,P51149
Q05322,P62879
Q05322,P12004
Q05322,P78527
Q05322,Q16531
Q05322,P20700
Q05322,P16615
Q05322,P10412
Q05322,P07919
Q05322,O15131
Q05322,P05023
Q05322,Q14839
Q05322,P10606
Q05322,Q14257
Q05322,P52294
Q05322,O60684
Q05322,P31689
Q77DB4,O60684
Q77DB4,O15131
Q77DB4,P52294
Q05322,P0DMV8
Q77DJ6,P53992
Q77DJ6,P46934
Q77DJ6,P53992
Q05322,P0DMV9
Q05322,Q96CS3
X5HMX4,O15118
X5HMX4,O15118
Q05322,O60684
Q05322,P20700
Q05322,P27708
Q05322,P49755
Q05322,P08195
Q05322,F8VVM2
Q05322,P10606
Q05322,Q9UNL2
Q05322,P23396
Q05322,P04843
Q05322,P05141
Q05322,P60866
Q05322,O00264
Q05322,P07919
Q05322,P51571
Q05322,P45880
Q05322,Q09028
Q05322,Q14257
Q05322,P35613
Q05322,P21796
Q05322,P61978
Q05322,Q99832
Q05322,Q8N163
Q05322,P07437
Q05322,O15269
Q05322,P62879
Q05322,Q96TA2
Q05322,Q15758
Q05322,P31689
Q05322,P39687
Q05322,Q15907
Q05322,P52294
Q05322,O60684
Q05322,Q13263
Q05322,P05023
Q05322,P16615
Q05322,P30050
Q05322,P08238
Q05322,P17987
Q05322,Q16531
Q05322,P22626
Q05322,P78527
Q05322,P49411
Q05322,Q14839
Q05322,O43175
Q05322,P04844
Q05322,P51149
Q05322,P12004
Q05322,P50402
Q05322,P20700
Q05322,Q96CS3
Q05322,Q9Y5M8
Q05322,P11142
Q05322,P08708
Q05322,P48643
Q05322,P10412
Q05322,O95831
Q05322,P35232
Q05322,P35268
Q05322,Q9P258
Q05322,Q549N5
Q05322,A8K5I0
Q05322,A8K401
Q05322,B2R4R0
Q05322,A3R0T8
Q05322,A7E2E1
Q05322,B2R4P9
Q77DJ6,P53992
